1.UL 1.U 1.U 1.U 1.U 1.U 1.U 1.U 1.U 1.U 1.U 1.U 1.U 1.U 1.U 1.UR
1.L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.R
1.L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.R
1.L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.R
1.L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.R
1.L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.R
1.L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.R
1.L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.R
1.L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.R
1.L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.R
1.L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.R
1.L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.R
1.L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.R
1.L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.R
1.L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.*
1.BL 1.B 1.B 1.B 1.B 1.B 1.B 1.B 1.B 1.B 1.B 1.B 1.B 1.B 1.B 1.BR
